UID,Ban_by,UID,Gender,Name,Intro,Locale,Service,Caught(TPE)
4344752,harry,女,寶,聊天 電愛 賴13140989,zh-TW,"Far EastTone Telecommunication Co., Ltd.",2019-10-14 16:03:18 +0800
4344541,harry,女,樂樂,"跳舞, 唱歌, 籃球, 電影, 攝影, 吃美食, 寵物, 
我單身 喜歡交朋友的可以加賴we628 
如果沒接直接密賴",zh-TW,Data Communication Business Group,2019-10-14 17:09:48 +0800
4343674,harry,女,可可,真心交友加賴ty八三七,zh-TW,Data Communication Business Group,2019-10-14 12:28:24 +0800
4343620,harry,女,暖男賴我wkpyy,,zh-TW,Data Communication Business Group,2019-10-14 12:08:27 +0800
4343597,harry,女,金金,"😅高三生我現在不講話膩要聊加賴mini1119.（有點ㄛ）😂隨緣
",zh-TW,Data Communication Business Group,2019-10-14 15:55:02 +0800
4342743,harry,女,Mi,高三生😂現在不講話啊要聊天可以加我賴mini1119.,zh-TW,Data Communication Business Group,2019-10-14 15:55:01 +0800
4339237,harry,女,兔兔,愛笑的我喜歡聊天交友 這邊不常在   加賴an558,zh-TW,Data Communication Business Group,2019-10-14 12:13:07 +0800
4336106,harry,女,書慧,交友加賴聊gsh52,zh-TW,Sony Network Taiwan Limited,2019-10-14 12:16:56 +0800
4334430,harry,女,莎莎,"跳舞, 唱歌, 加賴有驚喜哦：km39666",zh-TW,Asia Pacific Telecom,2019-10-14 12:19:52 +0800
4334155,harry,女,莎莎,加賴有驚喜哦：km39666,zh-TW,GMO CLOUD K.K.,2019-10-14 12:19:54 +0800
4331839,harry,女,雨婷,不經常在這個軟體哦 需要交友 戀愛 約會的 請加我的賴 mm9605 記得密我哦 ,zh-TW,Data Communication Business Group,2019-10-14 15:56:12 +0800
4330969,harry,女,莎莎,單身交友加賴：km39666,zh-TW,Data Communication Business Group,2019-10-14 12:19:55 +0800
4328803,harry,女,雨萱賴aazzp,"Line:aazzp
WhatsApp:54867825",zh-TW,Sony Network Taiwan Limited,2019-10-14 12:01:37 +0800
4328520,harry,女,交友加賴 wn883,"打給我 line： Wn叭叭三 
加我賴記得自介
照片一直審核唉 難受",zh-TW,Asia Pacific Telecom,2019-10-14 15:55:41 +0800
4328078,harry,女,依依,不經常在這個軟體需要約會交友戀愛請加我的賴lwrbbt 記得密我哦,zh-TW,Data Communication Business Group,2019-10-14 12:20:22 +0800
4327992,harry,女,依依,不經常在這裡 交友加賴聊vx269,zh-TW,Data Communication Business Group,2019-10-14 16:06:23 +0800
4327822,harry,女,欣丫,"聊天加賴 Wn叭叭三
 照片一直在審核唉 跳舞, 唱歌, ",zh-TW,"Amazon.com, Inc.",2019-10-14 15:55:40 +0800
4326181,harry,女,雨萱賴aazzp,,zh-TW,HKT Limited,2019-10-14 12:01:39 +0800
4322771,harry,女,交友加賴 dpzwo  加了請留言,,zh-TW,Digital United Inc.,2019-10-14 15:57:10 +0800
4322688,harry,女,聊天交友加賴 dpzwo 加了請留言,,zh-TW,Digital United Inc.,2019-10-14 15:57:11 +0800
4322600,harry,女,甜甜加賴聊哦  dpzwo  加了請留言,,zh-TW,Digital United Inc.,2019-10-14 15:57:12 +0800
4322203,harry,女,女神,加賴twlove20 真心交友 喜歡看電影,zh-TW,Taiwan Star Telecom Corporation Limited.(Former Vibo Telecom Inc.),2019-10-14 12:20:03 +0800
4321921,harry,女,雨萱賴aazzp,,zh-TW,HKT Limited,2019-10-14 12:01:40 +0800
4320179,harry,女,⚡️❤️,⚡️❤️加賴gg474,zh-TW,Data Communication Business Group,2019-10-14 11:47:34 +0800
4319743,harry,女,穎兒,這裡沒有經常在哦  喜歡交友聊天加我賴 dh400,zh-TW,Data Communication Business Group,2019-10-14 15:57:28 +0800
3796859,harry,女,交友加賴yt570,"不經常在這裡，交友加賴聊喔
vx269",zh-TW,Data Communication Business Group,2019-10-14 16:43:57 +0800
4318813,harry,女,葉子,4天假期有一起去全台走透透的嗎可以＋我賴ssqc20,zh-TW,DARZ GmbH,2019-10-14 17:30:17 +0800
4316938,harry,女,夢琪,沒辦微信  賴665nb,zh-TW,Data Communication Business Group,2019-10-14 11:18:03 +0800
4316907,harry,女,夢琪,沒辦微信  賴665nb,zh-TW,Data Communication Business Group,2019-10-14 11:18:04 +0800
4316849,harry,女,夢琪,沒辦微信  賴665nb,zh-TW,Data Communication Business Group,2019-10-14 11:18:05 +0800
4316348,harry,女,薇薇,喜歡交友聊天的加我賴wwzdl,zh-TW,Data Communication Business Group,2019-10-14 15:57:38 +0800
4315138,harry,女,交友迦；LN88L,,zh-TW,HGC Global Communications Limited,2019-10-14 12:09:47 +0800
4314435,harry,女,小玲加賴dm988,"跳舞, 唱歌, 籃球, 電影, 攝影, 吃美食, 旅遊, 寵物, ",zh-TW,Data Communication Business Group,2019-10-14 16:15:34 +0800
4313708,harry,女,賴：@dwj0906v,"唱歌, 攝影, ",zh-TW,Hoshin Multimedia Center Inc.,2019-10-14 11:58:48 +0800
620732,harry,女,賴：@dwj0906v急,"賴：@dwj0906v
無誠勿擾
無力感無助極了...
出售本人
拜託幫幫忙
拜託了
唉....
跪求好心人幫幫我
沒錢吃飯",zh-TW,Hoshin Multimedia Center Inc.,2019-10-14 11:58:43 +0800
4313491,harry,女,婷婷,很高興認識你    想瞭解更多加我賴8888tin,zh-TW,Data Communication Business Group,2019-10-11 16:10:32 +0800
3538249,harry,女,加曉雯賴xwqwe,,zh-TW,Data Communication Business Group,2019-10-14 16:46:14 +0800
4311845,harry,女,思源交友加賴sy4980,"跳舞, 唱歌, 電影, 吃美食, 旅遊, ",zh-TW,Data Communication Business Group,2019-10-08 11:59:35 +0800
4094942,harry,女,夢琪,沒辦微信  賴665nb,zh-TW,Data Communication Business Group,2019-10-14 11:18:09 +0800
4310054,harry,女,夢琪,沒辦微信  賴665nb,zh-TW,Data Communication Business Group,2019-10-08 12:21:33 +0800
4309542,harry,女,曉倩,喜歡我的男生可以加我賴哦  wttkk  記得發訊息給我哦,zh-TW,Data Communication Business Group,2019-10-08 16:01:44 +0800
4307300,harry,女,交友迦賴；LN⑧⑧L,,zh-TW,Data Communication Business Group,2019-10-08 11:59:36 +0800
4307133,harry,女,賴：zml89,,zh-TW,Data Communication Business Group,2019-10-08 11:59:38 +0800
4305900,harry,女,夢琪,沒辦微信   賴xwqwe,zh-TW,Data Communication Business Group,2019-10-07 18:07:58 +0800
4305667,harry,女,真心尋找男朋友賴kp861,,zh-TW,HKT Limited,2019-10-11 14:44:14 +0800
3570265,harry,女,語菲菲,,zh-TW,Data Communication Business Group,2019-10-14 20:12:44 +0800
4301603,harry,女,夢琪,沒辦微信 賴665nb,zh-TW,Data Communication Business Group,2019-10-07 18:07:59 +0800
4301571,harry,女,夢琪,沒辦微信，賴665nb,zh-TW,Data Communication Business Group,2019-10-07 18:08:01 +0800
4299042,harry,女,夢琪,沒辦微信  賴665nb,zh-TW,Data Communication Business Group,2019-10-07 18:08:11 +0800
4299470,harry,女,夢琪,沒辦微信 賴665nb,zh-TW,Data Communication Business Group,2019-10-07 18:08:08 +0800
4299025,harry,女,夢琪,沒辦微信  賴665nb,zh-TW,Data Communication Business Group,2019-10-07 18:08:13 +0800
4299986,harry,女,愛你的女孩,"一個人好無聊 剛下載這個軟體
不知道這邊都用wc
可以加我賴 xyksn",zh-TW,Data Communication Business Group,2019-10-07 18:08:04 +0800
4299813,harry,女,賴xp0788,,zh-TW,"No.31,Jin-rong Street",2019-10-07 17:41:14 +0800
4297885,harry,女,兔兔,愛笑的我喜歡交友 加賴an558,zh-TW,Data Communication Business Group,2019-10-07 18:29:07 +0800
4297512,harry,女,思源,喜歡我加我賴哦 sy4980,zh-TW,Data Communication Business Group,2019-10-14 16:16:32 +0800
4297210,harry,女,子涵,沒辦微信，交友加賴ke733,zh-TW,Data Communication Business Group,2019-10-07 18:13:16 +0800
4291713,harry,女,林朵 ,這裡我經常不在線哦 你可以加我賴哦 fc662,zh-TW,Data Communication Business Group,2019-10-14 12:08:18 +0800
4291092,harry,女,賴kp861,"跳舞, 唱歌, 吃美食, 旅遊, 看書, 交友",zh-TW,Data Communication Business Group,2019-10-07 17:41:16 +0800
4290310,harry,女,林筱蜜,喜歡交友加我賴xiaomi654,zh-TW,OVH SAS,2019-10-07 18:08:23 +0800
4289783,harry,女,林筱蜜,喜歡交友加我賴xiaomi654,zh-TW,OVH SAS,2019-10-07 18:08:27 +0800
4289700,harry,女,嘵嘵加賴kxab,不經常玩這個 喜歡聊天的記得加我賴哦kxab 記得密我哦,zh-TW,Data Communication Business Group,2019-10-07 17:41:17 +0800
4289639,harry,女,路遙賴mvfw,,zh-TW,Digital United Inc.,2019-10-07 17:41:20 +0800
4289572,harry,女,嘵嘵加賴kxab,,zh-TW,Data Communication Business Group,2019-10-07 17:41:25 +0800
4289274,harry,女,婷婷 可加賴哦 qw157,"電影, 跳舞, 吃美食, 旅遊, ",zh-TW,Data Communication Business Group,2019-10-07 17:41:27 +0800
4289219,harry,女,婷婷 加我賴qw157,,zh-TW,Data Communication Business Group,2019-10-07 17:41:30 +0800
4285851,harry,女,夢琪,"聽音樂, 跳舞,  沒辦微信  賴665nb",zh-TW,Data Communication Business Group,2019-10-07 18:08:34 +0800
4285658,harry,女,夢琪,"跳舞, 聽音樂, 沒辦微信 賴665nb",zh-TW,Data Communication Business Group,2019-10-07 18:08:41 +0800
4285199,harry,女,夢琪,"跳舞, 聽音樂,  沒辦微信  賴665nb",zh-TW,Data Communication Business Group,2019-10-07 18:08:46 +0800
4285464,harry,女,夢琪,"電影, 聽音樂, 沒辦微信 賴665nb",zh-TW,National Central University,2019-10-07 18:08:44 +0800
4285399,harry,女,夢琪,沒辦微信  賴665nb,zh-TW,Data Communication Business Group,2019-10-07 18:08:49 +0800
4285301,harry,女,ty837,"單身學生真心交友加名字賴聊，跳舞, 唱歌, 籃球, 電影, 攝影, 吃美食, ",zh-TW,Data Communication Business Group,2019-10-07 18:09:12 +0800
4285135,harry,女,Lwr9966,"真心交友加名字賴我，跳舞, 唱歌, 電影, 吃美食, 旅遊, 聽音樂, ",zh-TW,CHINA UNICOM China169 Backbone,2019-10-07 18:08:58 +0800
4284749,harry,女,安雅,"喜歡聊天交友加賴xan112
跳舞, 唱歌, 聽音樂, ",zh-TW,Data Communication Business Group,2019-10-07 18:08:55 +0800
4283869,harry,女,沫沫GG一七九六,名字上有賴記得➕哦,zh-TW,HKT Limited,2019-10-07 18:10:10 +0800
4282984,harry,女,賴  qianqian111,你不主動我們永遠沒故事，給我個機會讓我靠近你溫暖你 做彼此的天使，line qianqian111哦,zh-TW,Data Communication Business Group,2019-10-07 17:41:32 +0800
4282775,harry,女,賴  qianqian111,你不主動我們永遠沒故事，給我個機會讓我靠近你溫暖你 做彼此的天使，line qianqian111哦,zh-TW,Data Communication Business Group,2019-10-07 17:41:35 +0800
4282707,harry,女,曉佳,我是一個愛笑的女孩 目前單身 喜歡交友聊天加我賴hxj97,zh-TW,Data Communication Business Group,2019-10-07 18:10:13 +0800
4282450,harry,女,安苒 賴zt128,,zh-TW,Data Communication Business Group,2019-10-07 17:41:39 +0800
4282437,harry,女,加賴（juan518）賴聊休閒小棧,"跳舞, 唱歌, 電影, 吃美食, 旅遊, 聽音樂, 逛街, ",zh-TW,Data Communication Business Group,2019-10-07 17:42:37 +0800
4278222,harry,女,夢琪,沒有辦微信  賴qq870219,zh-TW,Data Communication Business Group,2019-10-07 16:23:49 +0800
4278131,harry,女,夢琪,沒辦微信  賴qq870219,zh-TW,Data Communication Business Group,2019-10-07 16:23:53 +0800
4113749,harry,女,夢琪,沒辦微信  賴qq870219,zh-TW,Data Communication Business Group,2019-10-07 16:24:01 +0800
4278009,harry,女,夢琪,沒辦微信  賴qq870219,zh-TW,Data Communication Business Group,2019-10-07 16:23:55 +0800
4276530,harry,女,𝓑𝓪𝓲 . 𝓯🧸,"加賴聊比較快😂b.ai_25
",zh-TW,"Taiwan Mobile Co., Ltd.",2019-10-07 18:10:17 +0800
4275266,harry,女,陳珮珊,"加賴zxc09070925
",zh-TW,"Far EastTone Telecommunication Co., Ltd.",2019-10-07 18:10:20 +0800
4274124,harry,女,mstk8888,本人單身臺北人，找臺北附近的單身男生。賴mstk521,zh-TW,"Amazon.com, Inc.",2019-10-09 10:47:08 +0800
4273644,harry,女,欣怡加賴vf8988,,zh-TW,Data Communication Business Group,2019-10-07 17:42:40 +0800
4273499,harry,女,雨萱賴aazzp,,zh-TW,Data Communication Business Group,2019-10-08 11:59:44 +0800
4272917,harry,女,思思加賴mq158,,zh-TW,Data Communication Business Group,2019-10-07 17:45:34 +0800
4270954,harry,女,香怡,沒辦微信 賴665nb,zh-TW,Data Communication Business Group,2019-10-07 18:12:38 +0800
4270815,harry,女,香怡,沒辦微信 賴665nb,zh-TW,Data Communication Business Group,2019-10-07 18:12:42 +0800
4270686,harry,女,香怡,沒辦微信 賴665nb,zh-TW,Data Communication Business Group,2019-10-07 18:12:45 +0800
3876761,harry,女,賴xd9998,拍謝 剛下載 不懂怎麼用 可以加我賴xd9998,zh-TW,Microsoft Corporation,2019-10-07 18:05:38 +0800
4041526,harry,女,單身交友聊天加賴xy850,,zh-TW,"Amazon.com, Inc.",2019-10-07 18:05:18 +0800
4262628,harry,女,小麗,"跳舞, 電影, 旅遊, 交友加賴kyd520",zh-TW,HK Kwaifong Group Limited,2019-10-17 11:36:40 +0800
4261418,harry,女,交友加賴xx897,,zh-TW,Data Communication Business Group,2019-10-07 17:45:57 +0800
4259302,harry,女,子涵,沒有辦微信，交友加賴ke733,zh-TW,Data Communication Business Group,2019-10-07 18:13:17 +0800
4257925,harry,女,Natte,賴聊（x/t/m/y）我有故事你有時間嗎,zh-TW,Data Communication Business Group,2019-10-14 11:55:59 +0800
4257538,harry,女,Whistaket,單身賴聊（x/p/m/y）,zh-TW,Data Communication Business Group,2019-10-14 11:58:08 +0800
4253869,harry,女,Sannater,聊天➕賴喔（x/p/m/y）,zh-TW,Data Communication Business Group,2019-10-14 11:58:09 +0800
4252660,harry,女,Goom,聊天賴喔（x/t/m/y）不➕我會生氣喔,zh-TW,Data Communication Business Group,2019-10-14 11:56:00 +0800
4252419,harry,女,渴望戀愛,喜歡我的男生可以加我賴聊哦 dh400 記得發訊息給我哦,zh-TW,Data Communication Business Group,2019-10-14 15:57:29 +0800
4251403,harry,女,Forits,聊天加賴（x/y/t/p/）一個人睡不著,zh-TW,Data Communication Business Group,2019-10-14 11:57:49 +0800
4248542,harry,女,賴aazzp,,zh-TW,Data Communication Business Group,2019-10-08 11:59:52 +0800
4248429,harry,女,賴aazzp,,zh-TW,HKT Limited,2019-10-08 11:59:53 +0800
4244251,harry,女,誰能借我500元吃飯,賴as1020as..,zh-TW,"Taiwan Mobile Co., Ltd.",2019-10-14 16:18:19 +0800
3476762,harry,女,可憐女孩沒人愛,賴as1020as..,zh-TW,"Taiwan Mobile Co., Ltd.",2019-10-14 17:34:03 +0800
4243055,harry,女,暖男賴我wkpyy,"跳舞, 唱歌, 電影, 攝影, 吃美食, 旅遊, ",zh-TW,Data Communication Business Group,2019-10-08 12:00:00 +0800
3505706,harry,女,Alva,"🌚ㄨㄇㄒㄏ顆顆
17歲錯了ㄇ",zh-TW,Data Communication Business Group,2019-10-14 16:47:22 +0800
2637505,harry,女,CYC,"",zh-TW,"Far EastTone Telecommunication Co., Ltd.",2019-10-14 17:38:32 +0800
4238875,harry,女,寶寶,"聊天 掛睡 壞
賴13140989",zh-TW,"Far EastTone Telecommunication Co., Ltd.",2019-10-14 16:18:48 +0800
4238705,harry,女,朵兒,嗨 我是來交友賴 ww123k,zh-TW,Data Communication Business Group,2019-10-07 18:29:25 +0800
4233221,harry,女,薇薇,找男友 喜歡交友聊天的加賴wwzdl,zh-TW,Data Communication Business Group,2019-10-08 08:34:46 +0800
4226296,harry,女,思琪賴yesww,"跳舞, 唱歌, 吃美食, 電影, 寵物, 旅遊, 逛街, 開心快樂每一天 單身聊天加我賴 yescc  賴等你噢
",zh-TW,Asia Pacific Telecom,2019-10-13 23:34:32 +0800
4097839,harry,女,"束ty837負
",女  22歲  交友加賴ty837,zh-TW,Data Communication Business Group,2019-10-07 18:32:28 +0800
4225029,harry,女,交友聊天加賴（juan518）賴我哦,"跳舞, 唱歌, 電影, 吃美食, 旅遊, 聽音樂, 逛街, ",zh-TW,Data Communication Business Group,2019-10-07 17:46:29 +0800
4222436,harry,女,思琪賴xxwer,可以加我賴xxwer找我聊哦 這裡不常用 加了記得打招呼,zh-TW,Data Communication Business Group,2019-10-07 17:49:18 +0800
1112056,harry,女,賴ella5260,,zh-TW,Hoshin Multimedia Center Inc.,2019-10-07 18:06:56 +0800
4219674,harry,女,Alva,"我只有大C 想看ㄇ私我啊
penny2507不是賴ㄛ😏",zh-TW,Data Communication Business Group,2019-10-14 17:36:19 +0800
4219148,harry,女,電❤️嘛,電愛可以加賴 賴ID：gg474,zh-TW,Data Communication Business Group,2019-10-07 18:15:42 +0800
4217804,harry,女,加我瀨聊 ww八零八,喜歡聊天想認識加我瀨聊喔ww808  這邊很少玩。 加完記得賴我喔😊😊😊,zh-TW,Data Communication Business Group,2019-10-07 18:16:02 +0800
4217529,harry,女,薇薇,找男生 喜歡交友聊天的加賴唷 wwzdl,zh-TW,Data Communication Business Group,2019-10-07 18:16:15 +0800
4212834,harry,女,女朋友,"聊天 掛睡
電愛
賴 13140989
",zh-TW,"Far EastTone Telecommunication Co., Ltd.",2019-10-07 18:16:31 +0800
4212483,harry,女,朵兒交友賴ww123k,,zh-TW,Data Communication Business Group,2019-10-07 17:46:45 +0800
4059560,harry,女,交友可約加賴vv888k,,zh-TW,"Taiwan Fixed Network, Telco and Network Service Provider.",2019-10-07 18:02:18 +0800
4210057,harry,女,思源,"攝影, 唱歌, 旅遊, 逛街, 看影集, 聽音樂, 
沒有辦wc 可以聯繫我的賴喔 hx193",zh-TW,Data Communication Business Group,2019-10-07 18:16:27 +0800
4205839,harry,女,子涵,沒有辦微信，賴ke733,zh-TW,Data Communication Business Group,2019-10-07 18:13:18 +0800
4205830,harry,女,依娜交友賴ti2938,,zh-TW,Data Communication Business Group,2019-10-07 17:46:48 +0800
4205628,harry,女,miki,加賴聊天吧 WN叭叭三,zh-TW,Asia Pacific Telecom,2019-10-14 15:55:39 +0800
4203808,harry,女,曉雯,沒微信，賴xwqwe,zh-TW,Data Communication Business Group,2019-10-07 18:16:58 +0800
3700285,harry,女,依娜交友賴ti2938,,zh-TW,Data Communication Business Group,2019-10-07 18:06:00 +0800
4091613,harry,女,加我賴聊：mm八零八,想認識就加我喔  什麼都能聊😬,zh-TW,Data Communication Business Group,2019-10-07 18:01:52 +0800
4141320,harry,女,單身學生交友看自介,大四單身學生交友加賴rs937,zh-TW,Data Communication Business Group,2019-10-07 18:19:20 +0800
4203236,harry,女,單身交友加賴xy850,,zh-TW,"Amazon.com, Inc.",2019-10-07 17:46:58 +0800
4201454,harry,女,Dably,聊天賴我唷（x/t/m/y）有劇情描述喔,zh-TW,Data Communication Business Group,2019-10-14 11:56:01 +0800
4201137,harry,女,Witheored,聊天賴唷（x/p/m/y）有刺激,zh-TW,Data Communication Business Group,2019-10-14 11:58:11 +0800
4200904,harry,女,加賴bmw975,,zh-TW,"Far EastTone Telecommunication Co., Ltd.",2019-10-14 16:25:37 +0800
4200820,harry,女,賴uc622,,en,Taiwan Academic Network (TANet) Information Center,2019-10-07 17:49:33 +0800
4199171,harry,女,萱萱,喜歡我的可以加賴bm527  想找個固定伴，也可以聊天交友 ,zh-TW,Data Communication Business Group,2019-10-07 18:29:55 +0800
4198235,harry,女,子涵,沒有辦微信，賴ke733,zh-TW,Data Communication Business Group,2019-10-07 18:13:19 +0800
4196984,harry,女,賴聊xixi580,,zh-TW,"Linode, LLC",2019-10-08 16:24:20 +0800
4196273,harry,女,Sonevol,賴聊唷（x/p/m/y）平凡的我在等妳喔,zh-TW,Data Communication Business Group,2019-10-14 11:58:12 +0800
4195974,harry,女,Prity,聊一聊天賴喔（x/t/m/y）,zh-TW,Data Communication Business Group,2019-10-14 11:56:02 +0800
4195589,harry,女,Wilsock,聊天加賴哦（x/p/m/y）,zh-TW,Data Communication Business Group,2019-10-14 11:58:13 +0800
4195423,harry,女,賴x/t/m/y 密我,,zh-TW,Data Communication Business Group,2019-10-14 11:55:53 +0800
4195037,harry,女,Mangst,哈囉聊天加賴（x/p/m/y）,zh-TW,Data Communication Business Group,2019-10-14 11:58:15 +0800
4194626,harry,女,Hasse,這裡不常用加賴「x/t/x/y」,zh-TW,Data Communication Business Group,2019-10-14 11:58:27 +0800
4192800,harry,女,小雅,沒有辦微信，只有賴：766re,zh-TW,Data Communication Business Group,2019-10-14 16:26:14 +0800
4190862,harry,女,加賴約會766re,,zh-TW,Data Communication Business Group,2019-10-07 17:47:20 +0800
4190776,harry,女,賴766re,,zh-TW,Data Communication Business Group,2019-10-07 17:47:31 +0800
4190284,harry,女,加賴約766re,,zh-TW,Data Communication Business Group,2019-10-07 17:47:35 +0800
4189941,harry,女,加賴約會766re,,zh-TW,Data Communication Business Group,2019-10-07 17:47:45 +0800
4188508,harry,女,Rompubse,聊賴唷（x/t/m/y）,zh-TW,Data Communication Business Group,2019-10-14 11:56:04 +0800
4133386,harry,女,加賴xxwer聊,Line：xxwer 加了記得打招呼哦,zh-TW,Data Communication Business Group,2019-10-07 18:01:40 +0800
2300372,harry,女,宅神,允許你加我賴ssqc20,zh-TW,Data Communication Business Group,2019-10-14 17:30:19 +0800
3868958,harry,女,密我賴（MYXP),看頭貼密我賴交友（MYXP）,zh-TW,Data Communication Business Group,2019-10-07 18:05:42 +0800
4185004,harry,女,曉雯,沒微信，賴xwqwe,zh-TW,Sony Network Taiwan Limited,2019-10-07 18:17:07 +0800
4184350,harry,女,樂lwr9966,真心交友名字賴,zh-TW,Data Communication Business Group,2019-10-07 18:17:20 +0800
4138456,harry,女,婷兒,我們能相遇就是緣分   喜歡我的可以加賴聊8888tin,zh-TW,Data Communication Business Group,2019-10-07 18:20:00 +0800
4183989,harry,女,子涵,沒辦微信，賴ke733,zh-TW,Data Communication Business Group,2019-10-07 18:13:20 +0800
4183443,harry,女,Angthe,交友邀請賴我唷「x/y/t/p」,zh-TW,Data Communication Business Group,2019-10-14 11:57:54 +0800
4182640,harry,女,Rource,賴聊哦「x/t/m/y」,zh-TW,Data Communication Business Group,2019-10-14 11:56:06 +0800
4182093,harry,女,雅雅,喜歡我可以加賴聊喔dk266 這個不常用,zh-TW,Data Communication Business Group,2019-10-07 18:15:16 +0800
4181817,harry,女,Teforning,賴我唷「m/y/x/p」,zh-TW,Data Communication Business Group,2019-10-14 11:57:24 +0800
4181500,harry,女,hi交友加賴喔 QIANQIAN111,你不主動我們永遠沒故事，給我個機會讓我靠近你溫暖你 做彼此的天使，line qianqian111哦,zh-TW,Data Communication Business Group,2019-10-07 17:48:41 +0800
4181486,harry,女,做你的貓,聊天交朋友 密我賴 yx246,zh-TW,EFLY NETWORK LIMITED,2019-10-07 18:14:12 +0800
4181083,harry,女,子涵,沒有辦微信，賴zh9801,zh-TW,Data Communication Business Group,2019-10-07 18:13:21 +0800
4180673,harry,女,影子,"我是命理師，上來交交朋友<塔羅命盤、桃花姻緣、招正偏財、靈通問事、感情挽回、泰國佛牌請供>可以免費諮詢哦！
+ 賴 y i n g _ 6 9 7 7",zh-TW,"Far EastTone Telecommunication Co., Ltd.",2019-10-07 18:17:36 +0800
4179575,harry,女,妃妃,我是妃妃 很高興認識你們唷 喜歡我可以加我賴hx193,zh-TW,Data Communication Business Group,2019-10-14 11:54:21 +0800
4101574,harry,女,琪琪,我沒微信 賴qq870219,zh-TW,Data Communication Business Group,2019-10-07 16:24:03 +0800
4177101,harry,女,詩夢, 最近都很無聊呢 想在這找到一個知心朋友 願意的話 加我的whatsapp 63763465或 賴 jq8686,zh-TW,Microsoft Corporation,2019-10-07 18:18:03 +0800
4138342,harry,女,婷婷,很高興認識你們    加我賴聊8888tin  瞭解更多,zh-TW,Data Communication Business Group,2019-10-07 18:20:06 +0800
4064370,harry,女,琪琪,我沒有微信呢  賴qq870219,zh-TW,Data Communication Business Group,2019-10-07 16:24:06 +0800
4176388,harry,女,子涵,沒辦微信，賴zh9801,zh-TW,"Linode, LLC",2019-10-07 18:13:35 +0800
4176303,harry,女,紫熙 賴663fu,,zh-TW,Data Communication Business Group,2019-10-07 17:48:57 +0800
4175978,harry,女,愛睡覺的小少女,"沒有辦wc 只玩賴766re
跳舞, 唱歌, 電影, 旅遊, 聽音樂, 看書, 逛街, ",zh-TW,Data Communication Business Group,2019-10-14 17:38:28 +0800
4175975,harry,女,子涵,沒有辦微信，賴zh9801,zh-TW,Data Communication Business Group,2019-10-07 18:13:38 +0800
623401,harry,女,賴：@dwj0906v,"Line:@dwj0906v
不能幫忙或是不信的麻煩不要加我
如果你相信我 再來密我....我等你",zh-TW,Hoshin Multimedia Center Inc.,2019-10-08 16:07:36 +0800
4175595,harry,女,Amber❤️,"",en,"Taiwan Mobile Co., Ltd.",2019-10-07 18:18:09 +0800
4172870,harry,女,子涵,沒辦微信，賴zh9801,zh-TW,Data Communication Business Group,2019-10-07 18:13:40 +0800
4086673,harry,女,可可,交友加賴ty837,zh-TW,"No.31,Jin-rong Street",2019-10-07 18:21:54 +0800
4172808,harry,女,小涵瀨hljkl,,zh-TW,Data Communication Business Group,2019-10-08 11:58:07 +0800
4169746,harry,女,琪琪,沒WeChat，賴qq870219,zh-TW,Data Communication Business Group,2019-10-07 16:23:58 +0800
